"year","latitude","longitude","elevation","avg_temp"
"1990",35.08333,-119.38333,205.7,81.5666666666667
"1990",35.13333,-118.45,1224.4,70.1333333333333
"1990",35.1597,-120.683,11.9,62.6333333333333
"1990",35.3056,-120.6619,93.9,65.1
"1990",35.367,-120.8447,36,58.6666666666667
"1990",35.3692,-117.6525,1088.1,80.6333333333333
"1990",35.3811,-120.1875,496.8,72.1666666666667
"1990",35.4028,-119.47,68.6,79.9
"1990",35.43424,-119.05524,149.3,81.0666666666667
"1990",35.5892,-119.352,88.7,78.35
"1990",35.6277,-120.6855,222.5,72.4666666666667
"1990",35.6513,-117.8213,740.7,83.2
"1990",35.6564,-120.9242,303,69.9
"1990",35.66936,-120.62918,249.8,73.2
"1990",35.686254,-117.690911,680,82.0666666666667
"1990",35.7269,-118.7006,957.1,68.3666666666667
"1990",35.7636,-117.3908,516.6,88.1
"1990",35.7831,-118.4389,823.9,80.4
"1990",35.8922,-118.915,64,77.5333333333333
"1990",35.8989,-120.4319,467.9,73.1333333333333
"1990",36.0333,-120.0569,246.9,79.3666666666667
"1990",36.06778,-119.02,119.8,80.4333333333333
"1990",36.0975,-119.5817,61,81.9
"1990",36.1203,-117.0878,2097,71.0666666666667
"1990",36.1356,-120.3606,204.2,81.8333333333333
"1990",36.1388,-117.9527,1165.9,78.4666666666667
"1990",36.18833,-120.69528,701,70.2666666666667
"1990",36.2032,-119.0545,132.6,77.6333333333333
"1990",36.2069,-121.1377,97.5,68.7
"1990",36.26556,-117.18528,1249.7,77.8666666666667
"1990",36.3158,-119.637,72.2,78.2666666666667
"1990",36.32833,-119.2997,92.4,77.6333333333333
"1990",36.33333,-119.95,70.7,78.5333333333333
"1990",36.3469,-121.5108,682.8,68.4
"1990",36.3642,-120.1561,86.9,76.7
"1990",36.3817,-119.0264,156.4,77.9
"1990",36.3825,-120.8558,1137.8,67.7
"1990",36.46263,-116.8672,-59.1,98.5666666666667
"1990",36.465,-118.8619,347.5,79.5666666666667
"1990",36.4819,-121.1822,398.4,71.2
"1990",36.4914,-118.8253,520.6,80.2
